x condition instruction availability retrieved
0.73 A U 1.0 1
1.09 A W 1.0 1
3.73 D U 0.043 1
4.09 D W 0.522 1
4.73 E U 0.524 1
0.79 A U 1.0 1
1.15 A W 1.0 1
3.15 C W 0.548 1
4.79 E U 1.0 1
0.85 A U 1.0 1
1.21 A W 1.0 1
3.21 C W 0.405 1
5.21 E W 0.541 1
0.91 A U 1.0 1
1.27 A W 1.0 1
3.91 D U 0.524 1
5.27 E W 0.524 1
