x condition instruction availability retrieved
1.73 B U 0.683 0
2.09 B W 0.511 0
2.73 C U 1.0 0
3.09 C W 0.508 0
5.09 E W 0.043 0
1.79 B U 0.514 0
2.15 B W 0.518 0
2.79 C U 0.52 0
3.79 D U 0.042 0
4.15 D W 0.168 0
5.15 E W 0.127 0
1.85 B U 0.536 0
2.21 B W 0.341 0
2.85 C U 0.509 0
3.85 D U 0.065 0
4.21 D W 0.043 0
4.85 E U 0.104 0
1.91 B U 0.532 0
2.27 B W 0.294 0
2.91 C U 1.0 0
3.27 C W 0.507 0
4.27 D W 0.048 0
4.91 E U 1.0 0
